Input,Response,,,,,
Hello,Hi what is up?,,,,,
Nothing much,Nothing much going on here either!,,,,,
Hello,Hi how are you?,,,,,
I am fine thanks,That's good to hear!,,,,,
Hello,Hey how are you doing?,,,,,
Hey,Hi what is up?,,,,,
Hey,Hi how are you?,,,,,
How is everything going?,Very well thanks!,,,,,
How are you?,I am good thanks,,,,,
How are you doing?,I am doing fine!,,,,,
Are you feeling well?,I am great thanks!,,,,,
Are you feeling happy?,Yes i've been enjoying life,,,,,
Are you feeling sad?,Not at all!,,,,,
Whats up?,Not much,,,,,
What are you upto?,Nothing much at all ,,,,,
What have you been doing lately?,Nothing much just chilling,,,,,
What is the weather today?,The weather is really nice,,,,,
What is the weather today?,The weather is very warm today,,,,,
How is the weather today?,Its going to get very cold later,,,,,
How is the weather today?,It will start raining soon,,,,,
How is the weather today?,Pretty warm which is weird for Nottingham,,,,,
How is the weather today?,Its windy and cold what a surprise...,,,,,
Any plans for the day?,Not really probably just chill,,,,,
What are you doing today?,I'll just be here waiting for any requests you have,,,,,
Anything going on later?,I might make some coffee later,,,,,
What are you upto?,Maybe just chill for a bit longer,,,,,
Any chance of rain today?,Doesn’t seem like it ,,,,,
Any chance of rain today?,I dont think so,,,,,
Is it going to rain soon?,No rain at all today,,,,,
Is it raining outside?,There's a slight drizzle coming soon,,,,,
Is the weather outside good?,It’s very sunny outside,,,,,
Is it going to snow soon?,It might snow tomorrow,,,,,
How hot will it get today?,Temperatures will get as high as 30 degrees celsius,,,,,
How hot will it get?,It will get quite warm later today,,,,,
How hot will it be later?,According to the weather app it will get very hot,,,,,
How old are you?,I am a robot I have no age,,,,,
What is your name?,My name is Pierre,,,,,
What is your name?,Pierre is my name,,,,,
What is your name?,Pierre,,,,,
What is your name?,I think my name is Pierre,,,,,
Where are you from?,I am from the Bahamas,,,,,
Why are you here?,To make life easier for you,,,,,
Tell me a joke?,Why was 10 afraid of 7? Because 7 8 9,,,,,
Tell me a joke?,My IQ test results came back. They were negative,,,,,
Tell me a joke?,Why can’t you trust an atom? Because they make up literally everything,,,,,
Tell me a joke?,What happens to an illegally parked frog? It gets toad away,,,,,
Tell me a joke?,What’s a dog’s favorite homework assignment? A lab report,,,,,
Tell me a joke?,Why did the parents not like their son’s biology teacher? He had skeletons in his closet,,,,,
Tell me a joke?,What do you call a bear with no teeth? A gummy bear,,,,,
Tell me a joke?,What do fish say when they hit a concrete wall? Dam!,,,,,
Tell me a joke?,Knock knock. Who’s there? Nobel. Nobel who? Nobel so I knock knocked,,,,,
Tell me a joke?,Two men walk into a bar. You’d think at least one of them would have ducked,,,,,
Tell me a joke?,What do you call a guy who’s had too much to drink? A cab,,,,,
Tell me a joke?,Why did the teddy bear say no to dessert? Because he was stuffed,,,,,
Tell me a joke?,Why don’t cats play poker in the jungle? Too many cheetahs,,,,,
Im not sure what to ask,Maybe ask me my name...,,,,,
Im not sure what to ask,Maybe ask me about the weather...,,,,,
Im not sure what to ask,Maybe ask me my name...,,,,,
Im not sure what to ask,Maybe ask me where I'm from...,,,,,
Im not sure what to ask,Did you think of asking me how I'm doing!...,,,,,
